modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
S10,CHEVROLET,269000.0,17297,automatico,diesel,Branco,2022,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/chevrolet-s10-2022-2-8-16v-turbo-diesel-high-country-cd-4x4-automatico-diesel-115550,CHEVROLET S10 2022 2.8 16V TURBO DIESEL HIGH COUNTRY CD 4X4 AUTOMÁTICO - Carango 115550
SAVEIRO,VOLKSWAGEN,89990.0,47000,manual,flex,Branco,2022,True,Podium Automóveis ,https://carango.com.br/veiculo/volkswagen-saveiro-2022-1-6-trendline-cs-8v-flex-2p-manual-flex-115549,VOLKSWAGEN SAVEIRO 2022 1.6 TRENDLINE CS 8V FLEX 2P MANUAL - Carango 115549
ONIX,CHEVROLET,83000.0,47000,automatico,flex,Preto,2020,True,Erivan José de Almeida Júnior ,https://carango.com.br/veiculo/chevrolet-onix-plus-2020-1-0-turbo-flex-premier-4p-automatico-flex-115548,CHEVROLET ONIX PLUS 2020 1.0 TURBO FLEX PREMIER 4P AUTOMÁTICO - Carango 115548
CELTA,CHEVROLET,A Combinar,,manual,flex,Preto,2012,True,TOM AUTOS,https://carango.com.br/veiculo/chevrolet-celta-2012-1-0-mpfi-lt-8v-flex-4p-manual-flex-115547,CHEVROLET CELTA 2012 1.0 MPFI LT 8V FLEX 4P MANUAL - Carango 115547
I30,HYUNDAI,42990.0,130000,automatico,gasolina,Prata,2010,True,Podium Automóveis ,https://carango.com.br/veiculo/hyundai-i30-2010-2-0-mpfi-gls-16v-gasolina-4p-automatico-gasolina-115546,HYUNDAI I30 2010 2.0 MPFI GLS 16V GASOLINA 4P AUTOMÁTICO - Carango 115546
ONIX,CHEVROLET,A Combinar,,automatico,flex,Prata,2020,True,Taiyo Auto Import,https://carango.com.br/veiculo/chevrolet-onix-2020-1-0-turbo-flex-plus-premier-autom-tico-flex-115545,CHEVROLET ONIX 2020 1.0 TURBO FLEX PLUS PREMIER AUTOM  TICO - Carango 115545
CITY,HONDA,A Combinar,,automatico,flex,Cinza,2020,True,Taiyo Auto Import,https://carango.com.br/veiculo/honda-city-2020-1-5-exl-16v-flex-4p-autom-tico-flex-115544,HONDA CITY 2020 1.5 EXL 16V FLEX 4P AUTOM  TICO - Carango 115544
HR-V,HONDA,A Combinar,,automatico,flex,Branco,2020,True,Taiyo Auto Import,https://carango.com.br/veiculo/honda-hr-v-2020-1-5-16v-turbo-gasolina-touring-4p-automatico-flex-115543,HONDA HR-V 2020 1.5 16V TURBO GASOLINA TOURING 4P AUTOMATICO - Carango 115543
ONIX,CHEVROLET,A Combinar,,automatico,flex,Cinza,2018,True,Boa Terra Veículos Maceió,https://carango.com.br/veiculo/chevrolet-onix-2018-1-4-mpfi-activ-8v-flex-4p-automatico-flex-115542,CHEVROLET ONIX 2018 1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO  - Carango 115542
FOX,VOLKSWAGEN,A Combinar,,manual,flex,Vermelho,2018,True,Boa Terra Veículos Maceió,https://carango.com.br/veiculo/volkswagen-fox-2018-1-0-mpi-comfortline-12v-flex-4p-manual-flex-115541,VOLKSWAGEN FOX 2018 1.0 MPI COMFORTLINE 12V FLEX 4P MANUAL - Carango 115541
ONIX,CHEVROLET,A Combinar,,manual,flex,Prata,2023,True,Boa Terra Veículos Maceió,https://carango.com.br/veiculo/chevrolet-onix-2023-1-0-turbo-flex-lt-4p-manual-flex-115540,CHEVROLET ONIX 2023 1.0 TURBO FLEX LT 4P MANUAL - Carango 115540
WR-V,HONDA,A Combinar,,automatico,flex,Branco,2019,True,GM Veículos,https://carango.com.br/veiculo/honda-wr-v-2019-1-5-16v-flexone-ex-cvt-flex-115539,HONDA WR-V 2019 1.5 16V FLEXONE EX CVT  - Carango 115539
MOBI,FIAT,A Combinar,,manual,flex,Cinza,2021,True,VITRINE MOTORS,https://carango.com.br/veiculo/fiat-mobi-2021-1-0-8v-evo-flex-like-on-manual-flex-115538,FIAT MOBI 2021 1.0 8V EVO FLEX LIKE ON MANUAL  - Carango 115538
CLASSIC,CHEVROLET,22000.0,,manual,flex,Bege,2011,True,JLA Corretora,https://carango.com.br/veiculo/chevrolet-classic-2011-1-0-mpfi-ls-8v-flex-4p-manual-flex-115537,CHEVROLET CLASSIC 2011 1.0 MPFI LS 8V FLEX 4P MANUAL - Carango 115537
ELANTRA,HYUNDAI,60800.0,193589,automatico,gasolina,Prata,2013,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/hyundai-elantra-2013-1-8-gls-16v-gasolina-4p-automatico-gasolina-115536,HYUNDAI ELANTRA 2013 1.8 GLS 16V GASOLINA 4P AUTOMÁTICO - Carango 115536
